"","Year","Quarter","Vacation"
"1",2008,1,500
"2",2008,2,147
"3",2008,3,1314
"4",2008,4,673
"5",2009,1,984
"6",2009,2,584
"7",2009,3,1449
"8",2009,4,1125
"9",2010,1,209
"10",2010,2,458
"11",2010,3,1357
"12",2010,4,544
"13",2011,1,483
"14",2011,2,280
"15",2011,3,1392
"16",2011,4,780
"17",2012,1,340
"18",2012,2,1003
"19",2012,3,1692
"20",2012,4,783
"21",2013,1,781
"22",2013,2,409
"23",2013,3,1657
"24",2013,4,792
"25",2014,1,671
"26",2014,2,769
"27",2014,3,1068
"28",2014,4,520
"29",2015,1,616
"30",2015,2,775
"31",2015,3,1215
"32",2015,4,514
"33",2016,1,232
"34",2016,2,492
"35",2016,3,1581
"36",2016,4,1028
"37",2017,1,551
"38",2017,2,869
"39",2017,3,1114
"40",2017,4,476
"41",2018,1,405
"42",2018,2,412
"43",2018,3,1121
"44",2018,4,554
"45",2019,1,666
"46",2019,2,729
"47",2019,3,1283
"48",2019,4,923
